name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,Image Url
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/WAHXGKleT3QvhqHUlFGIRgcQAjU=/206x305/v2/https://flxt.tmsimg.com/assets/p173378_p_v8_au.jpg
Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981675,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg
The Matrix,1999,R,2h 16min,Action; Sci-Fi; ,31 March 1999 (USA),8.7,1619761,4281,https://www.imdb.com/title/tt0133093/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/q1aWnhA588SmGiAht_9L3KXFUMA=/206x305/v2/https://flxt.tmsimg.com/assets/p22804_p_v8_av.jpg
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001 (USA),8.8,1609165,5365,https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/BHAfmFxBmHmgzzV_R18DpIOnohc=/206x305/v2/https://flxt.tmsimg.com/assets/p28828_p_v8_ao.jpg
The Dark Knight Rises,2012,PG-13,2h 44min,Action; Adventure; ,20 July 2012 (USA),8.4,1470329,2979,https://www.imdb.com/title/tt1345836/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/Ev6G8Z0H3SFepS-SDY0X-OsVpmQ=/206x305/v2/https://flxt.tmsimg.com/NowShowing/108806/108806_ac.jpg
Gladiator,2000,R,2h 35min,Action; Adventure; Drama; ,5 May 2000 (USA),8.5,1297718,2636,https://www.imdb.com/title/tt0172495/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/5oy0Op0onezDoCSnE9zTY6oz5KU=/206x305/v2/https://flxt.tmsimg.com/assets/p24674_p_v8_ae.jpg
Batman Begins,2005,PG-13,2h 20min,Action; Adventure; ,15 June 2005 (USA),8.2,1269027,2885,https://www.imdb.com/title/tt0372784/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/gG9jEpn7NVg5pYWwQidlxiBJ3HA=/206x305/v2/https://flxt.tmsimg.com/NowShowing/48435/48435_aa.jpg
The Avengers,2012,PG-13,2h 23min,Action; Adventure; Sci-Fi; ,4 May 2012 (USA),8,1236048,1929,https://www.imdb.com/title/tt0848228/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/4QmGJFR39jMm8uYSeMv4Aop8w6I=/206x305/v2/https://flxt.tmsimg.com/assets/p8815512_p_v8_ax.jpg
Star Wars: Episode IV - A New Hope,1977,PG,2h 1min,Action; Adventure; Fantasy; ,25 May 1977 (USA),8.6,1197132,1834,https://www.imdb.com/title/tt0076759/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/kMIUvpDVv_oQABEDe1lp-6HDQWw=/206x305/v2/https://flxt.tmsimg.com/assets/p4407_p_v12_ab.jpg
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4min,Action; Adventure; Fantasy; ,20 June 1980 (USA),8.7,1124834,1214,https://www.imdb.com/title/tt0080684/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/V_oZJXOwGIr2tZpJzbtv43zdFnk=/206x305/v2/https://flxt.tmsimg.com/assets/p8884_p_v8_ae.jpg
Avatar,2009,PG-13,2h 42min,Action; Adventure; Fantasy; ,18 December 2009 (USA),7.8,1096125,3415,https://www.imdb.com/title/tt0499549/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/kACYoBcDXPDb-kl4iTX4kQPUcaM=/206x305/v2/https://flxt.tmsimg.com/assets/p3542039_p_v8_am.jpg
Guardians of the Galaxy,2014,PG-13,2h 1min,Action; Adventure; Comedy; ,1 August 2014 (USA),8,1017405,1390,https://www.imdb.com/title/tt2015381/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/C0fEI9e_EZ-NNQnFAdT7ABazJJM=/206x305/v2/https://flxt.tmsimg.com/assets/p10108283_p_v8_aj.jpg
V for Vendetta,2005,R,2h 12min,Action; Drama; Sci-Fi; ,17 March 2006 (USA),8.2,1002944,2205,https://www.imdb.com/title/tt0434409/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/jnowzdBBav46HnbZrD57fflVfbo=/206x305/v2/https://flxt.tmsimg.com/assets/p159693_p_v8_av.jpg
Leon: The Professional,1994,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5,999596,1193,https://www.imdb.com/title/tt0110413/reviews/_ajax?ref_=undefined&paginationKey=,https://media.netflixreleases.com/images/1d7d1a8b3dc94189806295230aba00ad/leon-the-professional-1994-poster.jpg
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23min,Action; Adventure; Fantasy; ,9 July 2003 (USA),8,997264,2186,https://www.imdb.com/title/tt0325980/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/1nw9GbNdPavAIOjDP8T0oEdgGXU=/206x305/v2/https://flxt.tmsimg.com/assets/p32093_p_v8_aa.jpg
Kill Bill: Vol. 1,2003,R,1h 51min,Action; Crime; Thriller; ,10 October 2003 (USA),8.1,970439,2272,https://www.imdb.com/title/tt0266697/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8cpA3zKXCXtWdW5_JoQwxOGv1zg=/206x305/v2/https://flxt.tmsimg.com/assets/p32988_p_v8_af.jpg
Terminator 2: Judgment Day,1991,R,2h 17min,Action; Sci-Fi; ,3 July 1991 (USA),8.5,968504,1269,https://www.imdb.com/title/tt0103064/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/6qXCimMpku_RGklH4Slc_Cm6mSg=/206x305/v2/https://flxt.tmsimg.com/assets/p13308_p_v8_ag.jpg
Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11min,Action; Adventure; Fantasy; ,25 May 1983 (USA),8.3,922278,828,https://www.imdb.com/title/tt0086190/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/HG0k_jUaFZzKFUw2scYozaKaROE=/206x305/v2/https://flxt.tmsimg.com/assets/p8890_p_v8_ae.jpg
Iron Man,2008,PG-13,2h 6min,Action; Adventure; Sci-Fi; ,2 May 2008 (USA),7.9,915640,1319,https://www.imdb.com/title/tt0371746/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/jTU4RAjnwcZAconup5QZkH2Emb8=/206x305/v2/https://flxt.tmsimg.com/assets/p170620_p_v8_az.jpg
Deadpool,2016,R,1h 48min,Action; Adventure; Comedy; ,12 February 2016 (USA),8,876091,1440,https://www.imdb.com/title/tt1431045/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/k8sqy2AI32z2QJNdAzD1LFVcsXg=/206x305/v2/https://resizing.flixster.com/FQ9SS59M0qKg7f7U91ofk2UVy_s=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzg3NGEwM2NkLTI2N2QtNDk4ZS05OGY5LWU0MmQ5NzAyZGJmMC53ZWJw
